,chimpanzee,zebrafish,red flour beetle,pig,gray mouse lemur,olive baboon,Mexican tetra,northern pike,Japanese quail,African clawed frog,goat,eastern oyster,helmeted guineafowl,rainbow trout,yellow fever mosquito,Japanese medaka,Unnamed: 17,sheep,southern platyfish,Ryukyu mouse,shrew mouse
chimpanzee,0.0,0.7548184877490601,1.9634403441444308,0.3110271815458031,0.3945587191447948,0.31773445358860175,0.6592473904244606,0.7949559829818451,0.6170806204175754,0.433273487020566,0.49285778609683456,1.6845461171144935,0.4566867252718796,0.5114824850357348,1.889787429586138,0.5203693577293996,1.9220571368083965,0.3621529620420291,0.7065414085646405,0.4374890345113559,0.3357261716290601
zebrafish,0.7548184877490601,0.0,1.4039302350325087,0.7711691618825962,0.7160781756106714,0.6602258040278653,0.3647487921511665,0.5427074440325556,0.625825510613656,0.5205629893810869,0.5539099671412457,1.6685611577306432,0.41347003367295976,0.3341607242155793,1.2218161298524786,0.7462778290395693,1.5753081844326373,0.5783942824741899,0.44925457847725736,0.5550173702714118,0.6175458658061646
red flour beetle,1.9634403441444308,1.4039302350325087,0.0,1.9229987792604089,1.8655682857316043,1.8881242646826673,1.6895716775703251,1.4369835317148365,1.6194650121370835,1.7651418938762866,1.7275543087351828,2.489229240120661,1.5459566070218742,1.615933639222269,1.2189026665998308,1.8959836222536968,1.8721774835389324,1.8362693811589574,1.6986663569004812,1.6447548728628563,1.8155576395133344
pig,0.3110271815458031,0.7711691618825962,1.9229987792604089,0.0,0.20876574243596452,0.3061080264362661,0.6580704755270593,0.6721180424699945,0.4281044627845018,0.38144322606800285,0.37265344246234666,1.9026316387542268,0.4751385555434142,0.5197941568980379,1.8658883088129026,0.35903672111134155,1.8979158578612692,0.2948834118432641,0.6924668312170494,0.44627737865260886,0.26468817185937304
gray mouse lemur,0.3945587191447948,0.7160781756106714,1.8655682857316043,0.20876574243596452,0.0,0.3095385270247175,0.6114989114992694,0.5749477913013911,0.3400843408997274,0.3654946854084865,0.27978447796063716,1.9557504398130607,0.4609447284822944,0.49867322827706645,1.789791862296849,0.3272020184229536,1.8569736494077602,0.2808121358961136,0.6856883023601121,0.42583524195500155,0.2893777743408473
olive baboon,0.31773445358860175,0.6602258040278653,1.8881242646826673,0.3061080264362661,0.3095385270247175,0.0,0.5214470894395905,0.6735957941421243,0.5069328474098176,0.36700801112837145,0.3525285790482843,1.7852238612032492,0.46072636727811145,0.49072012953822775,1.7895078161685694,0.5196098591941705,1.7547044589949172,0.22290145365125266,0.612699043770504,0.35107282318583877,0.27153614234331364
Mexican tetra,0.6592473904244606,0.3647487921511665,1.6895716775703251,0.6580704755270593,0.6114989114992694,0.5214470894395905,0.0,0.5697186799791668,0.6012677727044169,0.39998836656868914,0.4214320617378291,1.7131482129898141,0.5078879941886842,0.3398258405899318,1.4102503284136587,0.638107495743742,1.6417870277400706,0.4282172033689326,0.4659480508314659,0.5634821555482067,0.46479297841962963
northern pike,0.7949559829818451,0.5427074440325556,1.4369835317148365,0.6721180424699945,0.5749477913013911,0.6735957941421243,0.5697186799791668,0.0,0.34004603288300117,0.5688237797177803,0.43465087433772315,2.132018384385116,0.5280002967244358,0.547797907285792,1.4680203192196515,0.6248332742558288,1.7839299953055512,0.6036397509376168,0.7845587319616903,0.5873617063552957,0.5593652533944636
Japanese quail,0.6170806204175754,0.625825510613656,1.6194650121370835,0.4281044627845018,0.3400843408997274,0.5069328474098176,0.6012677727044169,0.34004603288300117,0.0,0.41822297042280293,0.30262999317485517,2.0856049883026127,0.4413051201542705,0.49448602083149434,1.6009966149037675,0.40510306833331466,1.8165968422448953,0.42177562658120116,0.694536089728365,0.5068775796436222,0.39350587719311164
African clawed frog,0.433273487020566,0.5205629893810869,1.7651418938762866,0.38144322606800285,0.3654946854084865,0.36700801112837145,0.39998836656868914,0.5688237797177803,0.41822297042280293,0.0,0.28304302788944735,1.783710751704391,0.34480563858718805,0.3187646477421619,1.5847295369196264,0.36023553061765873,1.7825023042684298,0.24146870172923895,0.4657720164386807,0.47858126007698953,0.26492478946416004
goat,0.49285778609683456,0.5539099671412457,1.7275543087351828,0.37265344246234666,0.27978447796063716,0.3525285790482843,0.4214320617378291,0.43465087433772315,0.30262999317485517,0.28304302788944735,0.0,1.9227478056487073,0.4019202464636614,0.3825361568198386,1.5877098288660874,0.3910914310212355,1.7685799420006039,0.27681889903978474,0.5972048813783155,0.4274102981896492,0.25905087922081954
eastern oyster,1.6845461171144935,1.6685611577306432,2.489229240120661,1.9026316387542268,1.9557504398130607,1.7852238612032492,1.7131482129898141,2.132018384385116,2.0856049883026127,1.783710751704391,1.9227478056487073,0.0,1.7146302652770815,1.6609671758530442,2.1411805450669164,1.9866628182192307,2.024491257198134,1.7814077714110108,1.574116037759425,1.7267380766259883,1.8356231581802165
helmeted guineafowl,0.4566867252718796,0.41347003367295976,1.5459566070218742,0.4751385555434142,0.4609447284822944,0.46072636727811145,0.5078879941886842,0.5280002967244358,0.4413051201542705,0.34480563858718805,0.4019202464636614,1.7146302652770815,0.0,0.26171635266187526,1.521951980506724,0.5245267761905487,1.7551157113195517,0.4010861084481837,0.5236967816171474,0.3561727471911457,0.381672108341963
rainbow trout,0.5114824850357348,0.3341607242155793,1.615933639222269,0.5197941568980379,0.49867322827706645,0.49072012953822775,0.3398258405899318,0.547797907285792,0.49448602083149434,0.3187646477421619,0.3825361568198386,1.6609671758530442,0.26171635266187526,0.0,1.446782362242729,0.502465642516972,1.7352747253154983,0.3731067626318774,0.4081547452067065,0.4509933278999737,0.38227517320544013
yellow fever mosquito,1.889787429586138,1.2218161298524786,1.2189026665998308,1.8658883088129026,1.789791862296849,1.7895078161685694,1.4102503284136587,1.4680203192196515,1.6009966149037675,1.5847295369196264,1.5877098288660874,2.1411805450669164,1.521951980506724,1.446782362242729,0.0,1.744906167281489,1.5568474331524245,1.6657003876669498,1.385136594128824,1.6502074564064448,1.7119408340730053
Japanese medaka,0.5203693577293996,0.7462778290395693,1.8959836222536968,0.35903672111134155,0.3272020184229536,0.5196098591941705,0.638107495743742,0.6248332742558288,0.40510306833331466,0.36023553061765873,0.3910914310212355,1.9866628182192307,0.5245267761905487,0.502465642516972,1.744906167281489,0.0,1.956943951834535,0.377505722014461,0.6578128915439886,0.6422988973889681,0.3862336511963236
Unnamed: 17,1.9220571368083965,1.5753081844326373,1.8721774835389324,1.8979158578612692,1.8569736494077602,1.7547044589949172,1.6417870277400706,1.7839299953055512,1.8165968422448953,1.7825023042684298,1.7685799420006039,2.024491257198134,1.7551157113195517,1.7352747253154983,1.5568474331524245,1.956943951834535,0.0,1.7150324448583947,1.5356291291620494,1.6023766853382195,1.8359898828884689
sheep,0.3621529620420291,0.5783942824741899,1.8362693811589574,0.2948834118432641,0.2808121358961136,0.22290145365125266,0.4282172033689326,0.6036397509376168,0.42177562658120116,0.24146870172923895,0.27681889903978474,1.7814077714110108,0.4010861084481837,0.3731067626318774,1.6657003876669498,0.377505722014461,1.7150324448583947,0.0,0.4944439977372663,0.3928166699875338,0.21837936570531055
southern platyfish,0.7065414085646405,0.44925457847725736,1.6986663569004812,0.6924668312170494,0.6856883023601121,0.612699043770504,0.4659480508314659,0.7845587319616903,0.694536089728365,0.4657720164386807,0.5972048813783155,1.574116037759425,0.5236967816171474,0.4081547452067065,1.385136594128824,0.6578128915439886,1.5356291291620494,0.4944439977372663,0.0,0.6313240449102877,0.6212238486590924
Ryukyu mouse,0.4374890345113559,0.5550173702714118,1.6447548728628563,0.44627737865260886,0.42583524195500155,0.35107282318583877,0.5634821555482067,0.5873617063552957,0.5068775796436222,0.47858126007698953,0.4274102981896492,1.7267380766259883,0.3561727471911457,0.4509933278999737,1.6502074564064448,0.6422988973889681,1.6023766853382195,0.3928166699875338,0.6313240449102877,0.0,0.40083798657771724
shrew mouse,0.3357261716290601,0.6175458658061646,1.8155576395133344,0.26468817185937304,0.2893777743408473,0.27153614234331364,0.46479297841962963,0.5593652533944636,0.39350587719311164,0.26492478946416004,0.25905087922081954,1.8356231581802165,0.381672108341963,0.38227517320544013,1.7119408340730053,0.3862336511963236,1.8359898828884689,0.21837936570531055,0.6212238486590924,0.40083798657771724,0.0
